date;city;duration;shape;location
01/06/1989;wheelock;360;OTRA;(44.5880556,-72.0888889)
13/12/2008;new hope;900;OTRA;(45.0380556,-93.3863889)
30/06/2003;syracuse;1800;OTRA;(43.0480556,-76.1477778)
09/11/2008;seattle;40;OTRA;(47.6063889,-122.3308333)
01/01/2008;gainesville;300;OTRA;(29.6513889,-82.325)
11/07/2013;golden beach;2700;OTRA;(25.9647222,-80.1225)
24/09/2009;tacoma;10;OTRA;(47.2530556,-122.4430556)
24/02/2014;san jose;30;OTRA;(37.3394444,-121.8938889)
21/08/2010;montrose;300;OTRA;(38.4783333,-107.8755556)
15/07/2011;west chester;1800;OTRA;(39.8494444,-75.3561111)
07/08/2001;nampa;30;OTRA;(43.5408333,-116.5625)
24/01/1984;kirkland;1200;CIRCULAR;(42.0925,-88.8511111)
24/01/2009;manchester;60;OTRA;(43.1636111,-73.0727778)
22/05/2011;northampton;60;OTRA;(42.325,-72.6416667)
18/11/2008;beverly hills;120;OTRA;(34.0736111,-118.3994444)
19/06/2011;albany;60;OTRA;(42.6525,-73.7566667)
21/07/2008;duluth;60;OTRA;(46.7833333,-92.1063889)
01/08/1965;wilson;900;OTRA;(35.7211111,-77.9158333)
12/09/2011;tupelo;60;OTRA;(34.2575,-88.7033333)
01/08/2008;wickenburg;3;OTRA;(33.9686111,-112.7288889)
04/05/2011;albuquerque;2102400;OTRA;(35.0844444,-106.6505556)
27/05/2010;chicago;15;OTRA;(41.85,-87.65)
10/01/2008;davie;900;OTRA;(26.0625,-80.2333333)
02/02/2013;hood river;6;TRIANGULAR;(45.7055556,-121.5202778)
15/10/1978;greenwich;900;CIRCULAR;(41.0263889,-73.6288889)
21/11/2011;easton;3600;OTRA;(40.6883333,-75.2211111)
30/09/2008;norcross;600;OTRA;(33.9411111,-84.2136111)
24/09/2011;santa barbara;300;OTRA;(34.4208333,-119.6972222)
10/02/2014;wilmington;300;TRIANGULAR;(34.2255556,-77.945)
28/11/2006;anaheim;60;OTRA;(33.8352778,-117.9136111)
31/10/2010;oak lawn;360;OTRA;(41.7108333,-87.7580556)
11/07/2011;manchester;600;OTRA;(42.1502778,-84.0377778)
20/02/2008;new durham;30;CIRCULAR;(43.4366667,-71.1727778)
15/07/2008;chanute;2400;OTRA;(37.6791667,-95.4569444)
25/06/2011;oklahoma city;600;CIRCULAR;(35.4675,-97.5161111)
05/09/2001;guntersville;900;OTRA;(34.3580556,-86.2947222)
06/07/2007;elk river;2;OTRA;(45.3038889,-93.5669444)
14/01/2008;stephenville;720;OTRA;(32.2205556,-98.2019444)
09/06/2006;aurora;1140;OTRA;(41.7605556,-88.32)
03/05/2010;mchenry;30;OTRA;(42.3333333,-88.2666667)
04/07/2009;louisville;600;OTRA;(39.9777778,-105.1313889)
26/05/2013;kent;600;OTRA;(47.3811111,-122.2336111)
10/01/2010;butler;120;OTRA;(38.2538,-94.3356)
15/11/2008;bellefontaine;120;OTRA;(40.3611111,-83.7597222)
16/03/2014;sweetwater;10800;TRIANGULAR;(35.6013889,-84.4611111)
02/09/2010;orange;120;OTRA;(33.7877778,-117.8522222)
11/12/2012;arroyo grande;45;TRIANGULAR;(35.1186111,-120.5897222)
02/03/2007;stephenville;600;OTRA;(32.2205556,-98.2019444)
05/07/2008;park  ridge;1320;OTRA;(42.0111111,-87.8405556)
06/04/1971;osceola;960;OTRA;(41.0338889,-93.7652778)
14/12/2007;kingsland;900;TRIANGULAR;(30.7997222,-81.69)
08/08/2010;huron;10;OTRA;(44.3633333,-98.2138889)
22/05/2010;orlando;600;OTRA;(28.5380556,-81.3794444)
02/08/2007;fairfax county;30;CIRCULAR;(38.8461111,-77.3066667)
05/11/2010;leavenworth;15;OTRA;(39.3111111,-94.9222222)
16/06/2010;durham;600;OTRA;(43.1338889,-70.9269444)
05/10/2010;ashville;20;OTRA;(39.7155556,-82.9530556)
07/05/2007;savannah;60;OTRA;(35.2247222,-88.2491667)
19/02/2008;longmont;3600;TRIANGULAR;(40.1672222,-105.1013889)
01/05/2014;flower mound;360;OTRA;(33.0144444,-97.0966667)
30/11/2006;swarthmore;5;OTRA;(39.9019444,-75.3502778)
04/07/2008;butler;180;OTRA;(38.2538,-94.3356)
18/01/2008;springtown;1800;CIRCULAR;(32.9658333,-97.6833333)
25/02/2011;windsor;300;OTRA;(40.4775,-104.9008333)
30/06/2007;waterford;240;OTRA;(41.9427778,-79.9847222)
17/11/2008;stony brook;120;OTRA;(40.9255556,-73.1413889)
15/07/2007;hollywood;60;TRIANGULAR;(26.0108333,-80.1497222)
25/09/2009;martindale;300;OTRA;(29.8452778,-97.8405556)
16/07/2010;primm;300;OTRA;(35.6127778,-115.3894444)
27/01/2008;apalachicola;120;OTRA;(29.7255556,-84.9833333)
02/01/2007;garden city;180;OTRA;(40.7266667,-73.6347222)
20/03/2013;albany;600;OTRA;(44.6366667,-123.1047222)
04/07/2011;elizabethtown;240;CIRCULAR;(37.6938889,-85.8591667)
31/07/2008;yuma;1200;OTRA;(32.7252778,-114.6236111)
31/07/2008;park ridge;120;OTRA;(42.0111111,-87.8405556)
07/05/2014;lakeville;90;OTRA;(44.6497222,-93.2425)
03/02/2010;ocala;600;CIRCULAR;(29.1869444,-82.1402778)
24/02/2007;muncie;120;OTRA;(40.1933333,-85.3863889)
02/01/2009;new york city;120;OTRA;(40.7141667,-74.0063889)
17/01/2007;drums;120;OTRA;(41.0180556,-75.9952778)
09/01/2008;san antonio;2;OTRA;(29.4238889,-98.4933333)
23/12/2010;manteno;300;OTRA;(41.2505556,-87.8313889)
22/05/2012;oak creek;3600;OTRA;(42.8858333,-87.8630556)
30/09/2013;eagan;2700;TRIANGULAR;(44.8041667,-93.1666667)
01/06/1969;barrington;7200;OTRA;(42.1538889,-88.1361111)
01/01/2007;dover;15;OTRA;(39.1580556,-75.5247222)
02/10/2010;covington;120;OTRA;(33.5966667,-83.8602778)
26/06/2010;decatur;2;OTRA;(39.8402778,-88.9547222)
07/04/2014;de land;600;OTRA;(40.1222222,-88.6452778)
15/04/2014;denver;20;CIRCULAR;(39.7391667,-104.9841667)
30/06/2007;north pole;10800;OTRA;(64.7511111,-147.3494444)
01/06/1976;covington;6300;OTRA;(39.0836111,-84.5086111)
08/09/2010;lake city;90;OTRA;(44.3352778,-85.215)
27/05/2011;mankato;18000;OTRA;(44.1636111,-93.9991667)
19/01/2007;ogden;180;OTRA;(41.2230556,-111.9730556)
29/05/2011;myrtle beach;3600;OTRA;(33.6888889,-78.8869444)
12/12/2007;cameron;300;TRIANGULAR;(39.8269444,-80.5666667)
03/11/2007;mcdonough;1800;OTRA;(33.4472222,-84.1469444)
18/07/2010;los angeles;7200;OTRA;(34.0522222,-118.2427778)
29/07/2008;tucson;1200;CIRCULAR;(32.2216667,-110.9258333)
30/06/1998;jackson;180;OTRA;(32.2986111,-90.1847222)
23/02/2014;levittown;2;OTRA;(40.7258333,-73.5147222)
24/02/2014;west chester (near);1800;OTRA;(39.8494444,-75.3561111)
17/06/2008;park ridge;135;TRIANGULAR;(42.0111111,-87.8405556)
14/01/2013;milwaukee;7200;TRIANGULAR;(43.0388889,-87.9063889)
25/10/2011;vacaville;120;TRIANGULAR;(38.3566667,-121.9866667)
09/07/2007;roswell;420;OTRA;(34.0230556,-84.3616667)
14/10/2006;yuma;300;OTRA;(36.615,-82.6125)
19/05/2011;florence;20;OTRA;(34.1952778,-79.7627778)
29/08/2009;new york city (brooklyn);300;OTRA;(40.7141667,-74.0063889)
04/08/2008;davie;300;OTRA;(26.0625,-80.2333333)
03/12/2011;temple hills;3600;OTRA;(38.8138889,-76.9458333)
19/11/2011;nesmith;7200;OTRA;(33.6588889,-79.5136111)
01/07/1998;rapid city;3600;OTRA;(44.8344444,-85.2825)
15/08/2013;erie;900;OTRA;(42.1291667,-80.0852778)
09/04/2014;medford;3600;OTRA;(42.3266667,-122.8744444)
27/02/2008;chesterfield;10;OTRA;(38.6630556,-90.5769444)
20/01/2010;gowanda;5;OTRA;(42.4630556,-78.9361111)
20/11/2008;dallas;300;OTRA;(32.7833333,-96.8)
06/07/2009;williamstown;3600;CIRCULAR;(39.6861111,-74.9955556)
15/07/1987;beaver dam;1200;OTRA;(43.4577778,-88.8372222)
12/12/2007;conway;900;OTRA;(33.8358333,-79.0480556)
05/01/2007;palatine;120;OTRA;(42.1102778,-88.0341667)
28/06/2011;black river falls;600;OTRA;(44.2947222,-90.8513889)
08/03/2008;kalamazoo;1980;OTRA;(42.2916667,-85.5872222)
08/12/2008;baltimore;3600;OTRA;(39.2902778,-76.6125)
15/07/2010;davis;300;OTRA;(38.545,-121.7394444)
12/02/2007;springfield;300;CIRCULAR;(39.8016667,-89.6436111)
11/02/2008;palm bay;10;OTRA;(28.0341667,-80.5888889)
08/03/2008;wabash;300;OTRA;(40.7977778,-85.8205556)
27/08/2013;somerset;2;OTRA;(40.4975,-74.4888889)
18/02/2011;quartzsite;600;OTRA;(33.6638889,-114.2291667)
20/03/2007;charlotte;14400;OTRA;(35.2269444,-80.8433333)
31/07/2010;detroit;900;OTRA;(42.3313889,-83.0458333)
11/12/2007;north east;60;OTRA;(39.6,-75.9416667)
24/03/2014;eugene (general area);120;OTRA;(44.0522222,-123.0855556)
06/02/2011;fitchburg;1200;OTRA;(42.5833333,-71.8027778)
10/01/2014;hartford;120;OTRA;(41.7636111,-72.6855556)
20/02/1999;new orleans;1800;OTRA;(29.9544444,-90.075)
23/01/2007;new york city (staten island);1010;CIRCULAR;(40.7141667,-74.0063889)
03/07/2005;modesto;5;OTRA;(37.6391667,-120.9958333)
20/06/1999;las vegas;300;OTRA;(36.175,-115.1363889)
